,index,f1-score,precision,recall,support,i,f,p,r,s
0,chord_#vii%7,0.0,0.0,0.0,2.0,chord_VI64,0.0,0.0,0.0,3.0
1, chord_#viio,0.0,0.0,0.0,4.0, chord_VII,0.0,0.0,0.0,5.0
2,chord_#viio2,0.0,0.0,0.0,16.0, chord_V\\\\,0.0,0.0,0.0,1.0
3, chord_#viio43,0.0,0.0,0.0,6.0, chord_i,0.37,0.24,0.74,113.0
4,chord_#viio6,0.0,0.0,0.0,4.0,chord_i6,0.23,0.21,0.27,59.0
5, chord_#viio65,0.0,0.0,0.0,14.0, chord_i64,0.1,0.67,0.05,37.0
6,chord_#viio7,0.0,0.0,0.0,19.0, chord_i\\\\,0.09,0.06,0.14,7.0
7,chord_#viio7/V,0.0,0.0,0.0,6.0,chord_ii,0.13,0.25,0.09,35.0
8,chord_.Fr6,0.0,0.0,0.0,1.0,chord_ii%2,0.0,0.0,0.0,3.0
9, chord_.Ger6,0.0,0.0,0.0,8.0, chord_ii2,0.0,0.0,0.0,1.0
10,chord_.It6,0.0,0.0,0.0,1.0,chord_ii43,0.0,0.0,0.0,1.0
11,chord_.bII,0.0,0.0,0.0,7.0, chord_ii6,0.0,0.0,0.0,32.0
12, chord_.bII6,0.0,0.0,0.0,9.0,chord_ii64,0.0,0.0,0.0,8.0
13, chord_.bIII,0.0,0.0,0.0,1.0,chord_ii65,0.0,0.0,0.0,4.0
14,chord_.bVI,0.0,0.0,0.0,2.0, chord_ii7,0.0,0.0,0.0,2.0
15, chord_.bVII,0.0,0.0,0.0,1.0, chord_iii,0.0,0.0,0.0,10.0
16,chord_.bVII6,0.0,0.0,0.0,1.0,chord_iii6,0.0,0.0,0.0,2.0
17, chord_@none,0.0,0.0,0.0,7.0, chord_iii64,0.0,0.0,0.0,3.0
18, chord_I,0.38,0.27,0.63,337.0, chord_iio,0.0,0.0,0.0,2.0
19, chord_I+6,0.0,0.0,0.0,3.0,chord_iio6,0.0,0.0,0.0,13.0
20,chord_I6,0.19,0.16,0.23,143.0,chord_iv,0.0,0.0,0.0,33.0
21, chord_I64,0.0,0.0,0.0,72.0, chord_iv6,0.0,0.0,0.0,15.0
22,chord_II,0.0,0.0,0.0,3.0,chord_iv64,0.0,0.0,0.0,8.0
23, chord_III,0.0,0.0,0.0,11.0,chord_iv65,0.0,0.0,0.0,1.0
24,chord_III6,0.0,0.0,0.0,6.0, chord_iv7,0.0,0.0,0.0,3.0
25,chord_IV,0.19,0.19,0.19,104.0, chord_v,0.0,0.0,0.0,6.0
26, chord_IV6,0.12,0.19,0.09,33.0,chord_v6,0.0,0.0,0.0,2.0
27,chord_IV64,0.0,0.0,0.0,14.0,chord_vi,0.0,0.0,0.0,38.0
28, chord_I\\\\,0.21,0.17,0.29,24.0, chord_vi2,0.0,0.0,0.0,1.0
29, chord_R,0.08,0.09,0.07,61.0,chord_vi43,0.0,0.0,0.0,3.0
30, chord_V,0.16,0.14,0.19,173.0, chord_vi6,0.0,0.0,0.0,6.0
31, chord_V(64),0.14,0.18,0.12,68.0,chord_vi64,0.0,0.0,0.0,6.0
32,chord_V+,0.0,0.0,0.0,3.0, chord_vi7,0.0,0.0,0.0,5.0
33,chord_V2,0.03,1.0,0.02,115.0, chord_vii,0.0,0.0,0.0,8.0
34, chord_V2/IV,0.0,0.0,0.0,16.0,chord_vii%43,0.0,0.0,0.0,1.0
35, chord_V43,0.11,0.15,0.08,178.0, chord_vii%7,0.0,0.0,0.0,3.0
36,chord_V6,0.0,0.0,0.0,81.0,chord_viio,0.0,0.0,0.0,5.0
37, chord_V64,0.0,0.0,0.0,23.0, chord_viio2,0.0,0.0,0.0,6.0
38, chord_V65,0.11,0.23,0.07,160.0,chord_viio43,0.0,0.0,0.0,4.0
39, chord_V65/V,0.0,0.0,0.0,24.0, chord_viio6,0.0,0.0,0.0,3.0
40,chord_V7,0.26,0.22,0.34,236.0,chord_viio64,0.0,0.0,0.0,1.0
41, chord_V7/IV,0.0,0.0,0.0,12.0,chord_viio65,0.0,0.0,0.0,2.0
42,chord_V7/V,0.0,0.0,0.0,10.0, chord_viio7,0.0,0.0,0.0,11.0
43,chord_VI,0.0,0.0,0.0,20.0, micro avg,0.21,0.21,0.21,2554.0
44, chord_VI6,0.0,0.0,0.0,3.0, macro avg,0.03,0.05,0.04,2554.0
45,,,,,,weighted avg,0.15,0.19,0.21,2554.0
